Rank,Cities,Province,Cencus BPS (2010),Data Kemendagri (2015)
1,East Jakarta,Special Capital Region of Jakarta,2693896,2852887
2,Surabaya,East Java,2765487,2805906
3,Medan,North Sumatra,2097610,2465469
4,Bekasi,West Java,2334871,2381053
5,Bandung,West Java,2394873,2339463
6,West Jakarta,Special Capital Region of Jakarta,2281945,2234397
7,South Jakarta,Special Capital Region of Jakarta,2062232,2113411
8,Makassar,South Sulawesi,1338663,1651146
9,North Jakarta,Special Capital Region of Jakarta,1645659,1647853
10,Depok,West Java,1738570,1631951
11,Semarang,Central Java,1555984,1621384
12,Tangerang,Banten,1798601,1566190
13,Palembang,South Sumatra,1455284,1548064
14,South Tangerang,Banten,1290322,1219245
15,Bandar Lampung,Lampung,881801,1166761
16,Central Jakarta,Special Capital Region of Jakarta,902973,1114581
17,Batam,Kepulauan Riau,944285,1029808
18,Bogor,West Java,950334,982469
19,Padang,West Sumatra,833562,872271
20,Pekanbaru,Riau,897767,855221
21,Malang,East Java,820243,808945
22,Samarinda,East Kalimantan,727500,752845
23,Tasikmalaya,West Java,635464,678027
24,Pontianak,West Kalimantan,554764,651139
25,Banjarmasin,South Kalimantan,625481,635688
26,Denpasar,Bali,788589,632016
27,Serang,Banten,577785,613356
28,Jambi,Jambi,531857,602187
29,Balikpapan,East Kalimantan,557579,597625
30,Surakarta,Central Java,499337,552118
31,Cimahi,West Java,541177,513176
32,Manado,North Sulawesi,394683,461636
33,Kupang,East Nusa Tenggara,336239,433970
34,Jayapura,Papua,233859,413283
35,Mataram,West Nusa Tenggara,402843,408900
36,Yogyakarta,Special Region of Yogyakarta,388627,407617
37,Cilegon,Banten,374559,387543
38,Ambon,Maluku,305984,372249
39,Bengkulu,Bengkulu,308544,360495
40,Palu,Central Sulawesi,310168,359350
41,Kendari,Southeast Sulawesi,289966,331013
42,Sukabumi,West Java,298681,320970
43,Cirebon,West Java,296389,316126
44,Pekalongan,Central Java,281434,298386
45,Kediri,East Java,268507,280780
46,Pematangsiantar,North Sumatra,62916,278055
47,Tegal,Central Java,239599,275789
48,Sorong,Papua Barat,118017,272349
49,Binjai,North Sumatra,246154,269053
50,Dumai,Riau,253803,264084
51,Palangka Raya,Central Kalimantan,220962,249429
52,Banda Aceh,Aceh,223446,235305
53,Singkawang,West Kalimantan,186462,230216
54,Probolinggo,East Java,217062,225655
55,Padang Sidempuan,North Sumatra,191531,225544
56,Bitung,North Sulawesi,155385,218520
57,Banjarbaru,South Kalimantan,199627,216600
58,Ternate,North Maluku,158418,213274
59,Lubuklinggau,South Sumatra,201308,208225
60,Pasuruan,East Java,186262,204275
61,Tanjung Pinang,Kepulauan Riau,187359,203008
62,Pangkal Pinang,Bangka Belitung,174758,202959
63,Madiun,East Java,170964,201906
64,Tarakan,North Kalimantan,193370,198133
65,Batu,East Java,190184,196456
66,Gorontalo,Gorontalo,173951,191897
67,Banjar,West Java,175157,188486
68,Lhokseumawe,Aceh,171163,188221
69,Prabumulih,South Sumatra,161984,188082
70,Palopo,South Sulawesi,116152,180130
71,Langsa,Aceh,148945,178334
72,Salatiga,Central Java,170332,175288
73,Parepare,South Sulawesi,125207,175040
74,Tebing Tinggi,North Sumatra,145248,169786
75,Tanjungbalai,North Sumatra,154445,165763
76,Metro,Lampung,145471,161799
77,Bontang,East Kalimantan,143683,161356
78,Baubau,Southeast Sulawesi,106638,152143
79,Blitar,East Java,131968,144659
80,Gunungsitoli,North Sumatra,126202,137104
81,Bima,West Nusa Tenggara,142579,136492
82,Pagar Alam,South Sumatra,126181,136244
83,Mojokerto,East Java,120196,133274
84,Payakumbuh,West Sumatra,116825,125608
85,Magelang,Central Java,118227,124912
86,Kotamobagu,North Sulawesi,107459,120597
87,Bukittinggi,West Sumatra,111312,113326
88,Tidore,North Maluku,90055,103171
89,Sungai Penuh,Jambi,82293,101325
90,Tomohon,North Sulawesi,91553,96411
91,Sibolga,North Sumatra,84481,94971
92,Pariaman,West Sumatra,79043,85485
93,Tual,Maluku,58082,82955
94,Subulussalam,Aceh,67446,78801
95,Solok,West Sumatra,59396,63672
96,Sawahlunto,West Sumatra,56866,61427
97,Padang Panjang,West Sumatra,47008,50317
98,Sabang,Aceh,30653,38077
